,city,cloudiness perc,humidity perc,lat,lon,max temp,wind speed
498,ketchikan,20,75,55.34,-131.65,44.6,14.99
499,kaupanger,24,94,61.18,7.24,14.31,1.03
500,umtata,68,82,-31.59,28.78,60.8,10.29
501,huarmey,20,57,-10.07,-78.15,78.21,3.71
502,robertsport,0,97,6.75,-11.37,81.0,11.54
503,ancud,88,79,-41.87,-73.83,57.06,4.38
504,macenta,48,89,8.55,-9.47,75.42,2.04
505,san vicente,40,55,13.64,-88.78,89.6,8.05
506,jimenez,20,49,8.54,-82.37,91.4,11.41
507,madang,92,100,-5.21,145.81,72.09,2.93
508,silopi,0,88,37.25,42.47,43.74,3.15
509,rawson,88,36,-43.3,-65.11,66.15,3.71
510,yongchang,80,81,38.06,102.59,29.7,2.82
511,palmer,75,82,-34.85,139.16,64.4,19.46
512,yudong,40,93,35.16,126.9,37.4,4.7
513,brae,8,100,60.4,-1.35,33.8,8.05
514,jiaohe,0,81,43.72,127.34,22.14,6.51
515,tessalit,20,15,20.2,1.01,82.62,8.41
516,shizunai,80,89,42.33,142.37,28.26,7.74
517,sharanga,48,62,57.18,46.54,0.81,5.28
518,johi,0,33,26.69,67.61,74.43,8.52
519,pandaria,8,77,22.22,81.41,68.85,2.26
520,phan thiet,8,90,10.93,108.1,78.12,16.24
521,hambantota,8,100,6.12,81.12,81.18,13.22
522,bella vista,36,71,-28.51,-59.05,91.44,18.03
523,along,92,96,28.17,94.8,53.73,1.81
524,moron,40,83,10.49,-68.2,91.4,5.82
525,taft,88,100,11.9,125.42,78.03,11.99
526,farmington,1,22,36.73,-108.21,53.6,10.29
527,tefe,20,79,-3.35,-64.71,84.2,8.05
528,kapit,68,96,2.02,112.94,71.46,1.7
529,yarmouth,75,80,50.71,-1.5,30.2,16.11
530,otane,92,90,-39.89,176.62,50.4,3.6
531,batticaloa,92,100,7.71,81.69,80.28,6.4
532,mecca,0,40,21.43,39.83,86.0,6.51
533,kishi,68,35,9.08,3.85,91.62,1.36
534,ravar,36,44,31.27,56.81,59.31,5.5
535,daru,48,62,7.99,-10.85,84.42,9.42
536,yumen,0,70,40.29,97.04,33.03,5.73
537,marzuq,48,39,14.4,46.47,67.23,2.71
538,nipawin,90,95,53.36,-104.02,32.0,2.24
539,key west,1,67,47.93,-96.78,35.6,5.82
540,ambatofinandrahana,92,93,-20.55,46.8,62.46,7.4
541,dubti,56,31,11.74,41.09,84.42,3.83
542,hannibal,90,93,39.71,-91.36,39.2,8.05
543,barra patuca,0,87,15.8,-84.28,81.72,11.32
544,kon tum,20,95,14.36,108.0,60.93,1.92
545,morsbach,75,58,50.86,7.73,28.4,12.75
546,barpathar,48,92,26.3,93.87,57.06,1.59
547,iquique,0,57,-20.22,-70.14,75.2,14.99
548,staroaleyskoye,68,72,51.01,82.0,17.1,2.71
549,huilong,92,99,28.89,110.18,44.82,3.71
550,iracoubo,48,62,5.48,-53.21,83.7,7.29
551,codrington,0,91,-28.95,153.24,58.95,2.37
552,kishapu,0,90,-3.61,33.87,66.96,4.16
553,kavaratti,0,100,10.57,72.64,82.53,3.71
554,san ignacio,75,87,-36.8,-72.03,60.8,10.29
555,itarema,24,77,-2.92,-39.92,86.31,9.75
556,galesong,40,94,-5.32,119.37,75.2,2.24
557,valley city,1,100,46.92,-98.0,33.8,6.93
558,richards bay,88,79,-28.77,32.06,68.58,5.39
559,takoradi,48,99,4.89,-1.75,81.9,11.21
560,imbituba,0,62,-28.24,-48.67,84.2,10.29
561,tianpeng,92,100,28.88,112.34,49.68,11.21
562,khairpur nathan shah,0,27,27.09,67.73,74.88,8.41
563,moorhead,1,51,46.87,-96.75,41.0,4.72
564,zeya,36,68,53.74,127.27,10.62,3.71
